('@Dmitry', '@Dmitry', '0') 1
('.and', 'and the', '5') 1
('already know', 'know', '8') 1
(', i', '.', '3') 1
('an unknown group of recipients', 'a person', '25') 1
('six', 'more', '4') 1
('size', 'range (0-255)', '12') 1
('Question about Exiling', 'Does an exiled', '14') 1
('. Spheres', 'they', '7') 1
('he should post as separate questions', '', '36') 1
('wrap lines', 'read that url as', '13') 1
('by Danish', '', '9') 1
('SPICE simulations', '', '17') 1
('the softwares', 'software', '5') 1
('" + pageSizeProperty);', 'data[pageSizeProperty];', '6') 1
('orwas fataly', 'or was fatally', '2') 1
('Luke Skywalker', 'Obi-Wan Kenobi', '14') 1
('ssh -X -C user@workstation.edu', 'ssh -X -C user@workstation.edu', '0') 1
('?', 'would be.)', '10') 1
('your server while loading different elements on one page', 'define the end of a session caused by inactivity', '46') 1
('print$k[$n]="$n', 'print"$n', '7') 1
('even start', 'Even starting', '4') 1
('bulk views operation', 'views bulk operations', '11') 1
('Food', 'food types', '7') 1
('Hope this helps! --Dubs', '.', '23') 1
(', and', '. And', '2') 1
('actuates', 'actuates', '0') 1
('movie of', 'movie', '3') 1
("that's lame", 'I used send instead of sendall and send does not guarantee to actually send everything it is fed', '90') 1
('Also, on', 'From', '7') 1
('it does', 'circumcision reduces HIV risk', '24') 1
('making', 'playing with', '8') 1
('ongefehr', 'ohngefehr', '1') 1
('(interested in creating my own)', '?', '31') 1
('Get High Quality Backlinks', 'Try to get linked', '19') 1
('I am already familiar with Interactive Broker (IB) but beyond that I do', 'Subscription cost is', '62') 1
('rectangle', 'rectangles', '1') 1
('say', 'display', '4') 1
('However', '. However', '2') 1
('does anyone know what', '', '21') 1
('rPi', 'Raspberry Pi', '9') 1
('imagination', 'imagery', '7') 1
('subcontractor', "subcontractor's", '2') 1
('adilson/experimental Next', '', '25') 1
('using a proxy', 'in)', '11') 1
('25', '', '2') 1
('having a secure mounting for future fixings', 'mounting  (future) fixtures', '25') 1
('When a person is placed in a position of absolute power, is it necessarily true that', 'What did he mean by', '72') 1
('One', 'Two', '3') 1
('//www.videosurf.com/video/stonehenge-reloaded', 'Videosurf', '37') 1
('', 'a older number.', '15') 1
('odd', 'stuck', '5') 1
('$\\overline', '$ \\overline', '1') 1
('0', '-67,109,000', '10') 1
(', just', '. Just', '2') 1
('should i flag', 'vote to close?', '12') 1
("susceptible to white pine blister rust this doesn't seem promising or the viburnums", '', '83') 1
("don't", 'are', '5') 1
('Thigh', 'the thigh', '5') 1
('v', 'v<>1', '3') 1
('launchd.plist manual', 'The right way to change the listening port for a launchd handled service on Mac OS X is to use the dedicated keys available in', '111') 1
('probably infringing our trademark if you use one of our logos in your product, because it would be likely to cause confusion as to the origin of your product, so I would advise against it', '', '187') 1
('and', 'by', '3') 1
('>512] for', '>512]for', '1') 1
('MP3 at', '', '6') 1
("Anything above that and you're taking an", 'increase', '35') 1
('know of is to bring', 'would recommend bringing', '17') 1
('in different windows .', 'per window;', '13') 1
("is a legitimate citizen of the United States. I'm not a Birther!", 'Orly Taitz', '59') 1
('52', 'current score as the total score, but let us only consider cases with all', '73') 1
('Just for the record, I believe Barack Obama was born in the United States', 'For example', '66') 1
("As it's your first build, have you checked that the fans are pointing", "As it's your first build, have you checked that the fans are pointing in the right direction?", '24') 1
('//free-mobile-messenger.com/2011/02/24/jbed-java-emulator-for-android-1-5-2-2/', 'Free Mobile Messenger', '62') 1
('IPad', 'calendar.  Is there a way to configure an aut-accept (particularly an auto-accept from a specific e-mail address)?', '111') 1
('was forced', 'had', '8') 1
('tree', 'shrub', '4') 1
('internship', 'interns', '3') 2
('If', 'The way', '7') 1
('//www.amazon.com/Asymptotic-Theory-Extreme-Statistics-Probability/dp/0471021482/ref=sr_1_6?s=books&ie=UTF8&qid=1342812828&sr=1-6&keywords=Janos+galambos', "Galambos' book", '143') 1
('StackOverflow', 'Stack Overflow', '1') 1
('the lower', 'between the tracks reduces when the sensor is pressed', '46') 1
('Any', 'Are there any', '10') 1
('and realised', '(the link is for 10k users), and realized', '30') 1
('A-Z0-9 pattern', '', '14') 1
('~~~\\text', '\\ \\ \\text', '4') 1
('.', 'stacklist.quickmediasolutions.com', '32') 1
('x', '$x$', '2') 10
('% 5', ').sliding', '9') 1
('i.e. in a "key" in', 'meaning', '15') 1
('metamagic', 'Metamagic', '1') 1
("it's ideal height for", 'the', '18') 1
('P', '$P', '1') 2
('for', 'that would let me play', '21') 1
('provide Active', 'provides LDAP/Active', '6') 1
('Whichever VM you select, the VM cannot cross the software boundaries set in place. For example, a virus might infect a computer when executed and spread to other files in the OS. However, a virus executed in a VM will spread through the VM but not affect the underlying actual OS.', '', '280') 1
('Im', "I'm", '1') 18
('but not all.  Obviously', 'which obviously was', '18') 1
('D', 'How can I build this concept?', '29') 1
('List g"1"a="1st"', 'show)[1..n]', '15') 1
("While I haven't found a solution", 'Also', '29') 1
('need a', 'a', '5') 1
('headphones will work for you after shutdown and then startup of laptop (reboot does not help). Then headphones will bread for you after any reboot or suspend to disk. Suspend to RAM does not break anything. For', '', '210') 1
('', 'to meta', '7') 1
('sleep', 'p', '4') 1
('process', '-process', '1') 1
('be light on their feet', 'see her.', '17') 1
('280', '', '3') 1
('say', 'saying', '3') 1
('the screen is', 'I get a', '10') 1
('standartization', 'standardization', '1') 1
('I drink cool water only.          people always like cool water. In', '', '67') 1
('//www.chromeplugins.org/google/chrome-plugins/new-ext-xml-tree-user-friendly-xml-view-7963.html', '', '95') 1
('likely to include all files', '11 Gb which includes', '20') 1
('Since, in the creation of the universe we have an event in which both of these things are being created simultaneously', 'Both include each other. If', '99') 1
('Matthews', 'Matthews', '0') 1
('there should be a warning like', "you'll see uncited item clearly.", '27') 1
('have', 'not', '4') 1
('community question', '', '18') 1
('O(n^(n+1)) or', '', '13') 1
('cancelling', 'canceling', '1') 1
('Can wearing tights while running cause pain in my knees', ')', '55') 1
('Rectangle.Intersect', '', '19') 1
('>getCustomerEmail', '>getBillingAddress', '14') 1
(', a big', '->', '7') 1
('', "or tell me I'm going about this all wrong.", '42') 1
('tried to look', 'looked', '11') 1
('left to right', 'line by line', '9') 1
('an', 'a routed', '7') 1
('of', 'for the claim that', '17') 1
('decide they are against the fire code or something', 'have them removed', '39') 1
('markdown', 'the Markdown', '5') 1
('passing this', 'pass it', '6') 1
('Press "Esc" and "Y" to exit and save.', 'Instructions (', '31') 1
('swimming suit', 'swimsuit', '5') 1
('internet explorer', 'Internet Explorer', '2') 1
('other', 'static stock hedge will not adjust', '31') 1
('what', '', '4') 2
('Thank you for any help!', '.', '23') 1
('both', 'them', '4') 1
('is no real', 'are a couple', '10') 1
('M3 devolpment', '-M3 development', '3') 1
('r2', '$r_2$', '3') 1
('49', '47', '1') 1
('movie', 'movies', '1') 1
('...mabe', ', maybe', '4') 1
('mumu', 'mumu', '0') 1
('//en.wikipedia.org/wiki/Tar_%28lute%29', 'Tar', '35') 1
('IndexOf', 'Split', '7') 1
('Robust Regression', 'robust regression', '2') 1
('Say', 'Edit', '4') 1
('G.some_long_name', '', '16') 1
('Flyback', 'FlyBack', '1') 1
('[new user cannot post many links] url api.stackexchange.com/docs/sites#filter=default&run=true look', '', '99') 1
('volume fader', 'group track (as they are', '19') 1
('he will', ', the poor person would', '18') 1
('told', 'tells', '3') 1
('heirachy', 'hierachy', '2') 1
('14', '10^040^0', '6') 1
("There is also a disassembler which gives a full listing of the code with symbols. I'll paste the link once possible.", 'disasm.py', '108') 1
('When will my device get the Android 4.1 update (Jelly Bean)?', 'When will my device get the Android 4.1 update (Jelly Bean)?', '0') 2
('detract', 'send the message to the editor that the paper is full of little flaws and thus bad. Also, leave out the trivial stuff like typos - instead write e.g. "the paper would benefit', '168') 1
('but what', 'the universe. What', '13') 1
('illogical as it would', 'created" should', '15') 1
('calloc', 'foo_new', '7') 2
("gr;  as I understand, those +2 height's cm is ok", 'grams.', '43') 1
('social security', 'Social Security or other', '11') 2
('the feeling has stayed ever since. Many', 'can cause some', '31') 1
('; sudo bash arm-chrubuntu-3.sh and', '//cr-48-ubuntu.googlecode.com/files/arm-chrubuntu-3.sh', '37') 1
('What is your process for', 'How do you organise and manage a project when', '34') 1
('a', 'it as', '4') 1
('file', 'filename', '4') 1
(')/(S_t^2 )', '}{\\partial S_t^2}', '13') 1
('beamer', 'Beamer', '1') 1
('Mac', 'OS X 10.5+', '10') 1
('file.', '?', '5') 1
('22]*2+[98', 'k]*2', '6') 1
('stealing as a Theif over-rides this', 'stealing as a Theif over-rides this', '0') 1
('25', '25', '0') 1
('life/job', 'job', '5') 1
('$1', '\\$1', '1') 2
('well', 'good', '4') 1
('optimized', 'used languages.  They are also interpreted.', '39') 1
('Engines at altitude can use a more efficient engine design.', "The Pegasus doesn't have to worry about changing inclinations, as the Falcon 9 does. But the specified numbers for Falcon 1 don't take in to account a varied inclination.", '133') 1
('problem. It is unlikely', ')', '23') 1
('others', 'else', '5') 1
('70', '70%', '1') 1
('Are', '. Are', '2') 1
('."</strong> replies."', ';', '21') 1
('http', 'Wikia - Star Wars', '16') 1
('fixed', 'corrected', '7') 1
('One might also call', 'At', '18') 1
(', assuming', '. Assuming', '2') 1
('//www.bodybuilding.com/fun/printworklog.htm', '.', '42') 1
('Task', '.  Task', '3') 1
("I''ve", 'I have a', '5') 1
('such as "3dOsdT+d.part" and "utYYNFFo.part"', '', '43') 1
